train_start,train_end,test_start,test_end,model,mse,oos_r2,pred_mean,actual_mean
2000-01-31,2006-12-31,2007-01-31,2007-12-31,OLS,0.0003407065173414641,0.8858233945556467,0.03387743103912245,0.02898304066921829
2000-01-31,2006-12-31,2007-01-31,2007-12-31,Ridge,0.00033240275265704073,0.8886061287148702,0.03350472653519295,0.02898304066921829
2000-01-31,2006-12-31,2007-01-31,2007-12-31,Lasso,0.00034694808494691574,0.8837317380549063,0.0337867960737023,0.02898304066921829
2001-01-31,2007-12-31,2008-01-31,2008-12-31,OLS,0.00014561450467419498,0.907019529548788,0.003682465997747448,-0.003082797333534419
2001-01-31,2007-12-31,2008-01-31,2008-12-31,Ridge,0.0001398183971098709,0.9107205675004845,0.003649758393254972,-0.003082797333534419
2001-01-31,2007-12-31,2008-01-31,2008-12-31,Lasso,0.00013716459853062727,0.912415120120314,0.003337646169230348,-0.003082797333534419
2002-01-31,2008-12-31,2009-01-31,2009-12-31,OLS,0.0004871307254787676,0.7379971193507537,0.025757371940605803,0.028981183593345523
2002-01-31,2008-12-31,2009-01-31,2009-12-31,Ridge,0.0004901384196077147,0.7363794334100415,0.025558702238060744,0.028981183593345523
2002-01-31,2008-12-31,2009-01-31,2009-12-31,Lasso,0.00038989798710253404,0.7902936718274012,0.026434759035724013,0.028981183593345523
2003-01-31,2009-12-31,2010-01-31,2010-12-31,OLS,0.00030893204255661686,0.7885034350117142,0.01857431615421706,0.016313314380443807
2003-01-31,2009-12-31,2010-01-31,2010-12-31,Ridge,0.00031756384682354687,0.7825940546282522,0.018421065605602378,0.016313314380443807
2003-01-31,2009-12-31,2010-01-31,2010-12-31,Lasso,0.0002843032416318323,0.8053644467483573,0.01743039130650316,0.016313314380443807
2004-01-31,2010-12-31,2011-01-31,2011-12-31,OLS,0.0003412965409787531,0.9147499575065647,-0.023149745638855173,-0.024824305090336247
2004-01-31,2010-12-31,2011-01-31,2011-12-31,Ridge,0.0003433601312728191,0.914234507922008,-0.022567300524924547,-0.024824305090336247
2004-01-31,2010-12-31,2011-01-31,2011-12-31,Lasso,0.00035174036515009285,0.9121412687344858,-0.02029204023278824,-0.024824305090336247
2005-01-31,2011-12-31,2012-01-31,2012-12-31,OLS,0.000267282230448664,0.8653322286519067,0.008912809069135568,0.0037025948992781116
2005-01-31,2011-12-31,2012-01-31,2012-12-31,Ridge,0.00027564188662173575,0.8611202903417012,0.009021471703863079,0.0037025948992781116
2005-01-31,2011-12-31,2012-01-31,2012-12-31,Lasso,0.0003705264411965302,0.8133135525780462,0.010546389206761762,0.0037025948992781116
2006-01-31,2012-12-31,2013-01-31,2013-12-31,OLS,0.000310582399965215,0.8139164373783995,0.003927068944575499,0.004735227477373583
2006-01-31,2012-12-31,2013-01-31,2013-12-31,Ridge,0.0003069876928945585,0.81607018433368,0.003885823519134314,0.004735227477373583
2006-01-31,2012-12-31,2013-01-31,2013-12-31,Lasso,0.0002935100781812126,0.8241452155066685,0.0031234316889077267,0.004735227477373583
2007-01-31,2013-12-31,2014-01-31,2014-12-31,OLS,0.000627190238775779,0.5649921003220617,0.017128593072526812,0.008692561838071778
2007-01-31,2013-12-31,2014-01-31,2014-12-31,Ridge,0.0006093814094856424,0.5773439848800017,0.01693033639062497,0.008692561838071778
2007-01-31,2013-12-31,2014-01-31,2014-12-31,Lasso,0.000590911252993037,0.5901545541233211,0.01721868548633674,0.008692561838071778
2008-01-31,2014-12-31,2015-01-31,2015-12-31,OLS,0.0005042647531208522,0.6985300190683741,-0.013313171577056318,0.0012614904393499907
2008-01-31,2014-12-31,2015-01-31,2015-12-31,Ridge,0.0004681426566146393,0.7201252776652575,-0.012607104446881345,0.0012614904393499907
